DATAFLOW,LAST UPDATE,freq,unit,geo,TIME_PERIOD,OBS_VALUE,OBS_FLAG
ESTAT:SDG_10_20(1.0),27/04/23 11:00:00,A,PPS_EU27_2020_HAB,CY,2004,14766,
ESTAT:SDG_10_20(1.0),27/04/23 11:00:00,A,PPS_EU27_2020_HAB,CY,2005,16199,
ESTAT:SDG_10_20(1.0),27/04/23 11:00:00,A,PPS_EU27_2020_HAB,CY,2006,17012,
ESTAT:SDG_10_20(1.0),27/04/23 11:00:00,A,PPS_EU27_2020_HAB,CY,2007,18379,
ESTAT:SDG_10_20(1.0),27/04/23 11:00:00,A,PPS_EU27_2020_HAB,CY,2008,20044,
ESTAT:SDG_10_20(1.0),27/04/23 11:00:00,A,PPS_EU27_2020_HAB,CY,2009,19392,
ESTAT:SDG_10_20(1.0),27/04/23 11:00:00,A,PPS_EU27_2020_HAB,CY,2010,18780,
ESTAT:SDG_10_20(1.0),27/04/23 11:00:00,A,PPS_EU27_2020_HAB,CY,2011,18521,
ESTAT:SDG_10_20(1.0),27/04/23 11:00:00,A,PPS_EU27_2020_HAB,CY,2012,17422,
ESTAT:SDG_10_20(1.0),27/04/23 11:00:00,A,PPS_EU27_2020_HAB,CY,2013,16903,
ESTAT:SDG_10_20(1.0),27/04/23 11:00:00,A,PPS_EU27_2020_HAB,CY,2014,16229,
ESTAT:SDG_10_20(1.0),27/04/23 11:00:00,A,PPS_EU27_2020_HAB,CY,2015,16635,
ESTAT:SDG_10_20(1.0),27/04/23 11:00:00,A,PPS_EU27_2020_HAB,CY,2016,17846,
ESTAT:SDG_10_20(1.0),27/04/23 11:00:00,A,PPS_EU27_2020_HAB,CY,2017,18782,
ESTAT:SDG_10_20(1.0),27/04/23 11:00:00,A,PPS_EU27_2020_HAB,CY,2018,19352,
ESTAT:SDG_10_20(1.0),27/04/23 11:00:00,A,PPS_EU27_2020_HAB,CY,2019,20693,
ESTAT:SDG_10_20(1.0),27/04/23 11:00:00,A,PPS_EU27_2020_HAB,CY,2020,20792,
ESTAT:SDG_10_20(1.0),27/04/23 11:00:00,A,PPS_EU27_2020_HAB,CY,2021,21545,p
ESTAT:SDG_10_20(1.0),27/04/23 11:00:00,A,PPS_EU27_2020_HAB,CZ,2000,9409,
ESTAT:SDG_10_20(1.0),27/04/23 11:00:00,A,PPS_EU27_2020_HAB,CZ,2001,10226,
ESTAT:SDG_10_20(1.0),27/04/23 11:00:00,A,PPS_EU27_2020_HAB,CZ,2002,10423,
ESTAT:SDG_10_20(1.0),27/04/23 11:00:00,A,PPS_EU27_2020_HAB,CZ,2003,11116,
ESTAT:SDG_10_20(1.0),27/04/23 11:00:00,A,PPS_EU27_2020_HAB,CZ,2004,11532,
ESTAT:SDG_10_20(1.0),27/04/23 11:00:00,A,PPS_EU27_2020_HAB,CZ,2005,12127,
ESTAT:SDG_10_20(1.0),27/04/23 11:00:00,A,PPS_EU27_2020_HAB,CZ,2006,12590,
ESTAT:SDG_10_20(1.0),27/04/23 11:00:00,A,PPS_EU27_2020_HAB,CZ,2007,13366,
ESTAT:SDG_10_20(1.0),27/04/23 11:00:00,A,PPS_EU27_2020_HAB,CZ,2008,13987,
ESTAT:SDG_10_20(1.0),27/04/23 11:00:00,A,PPS_EU27_2020_HAB,CZ,2009,14433,
ESTAT:SDG_10_20(1.0),27/04/23 11:00:00,A,PPS_EU27_2020_HAB,CZ,2010,14664,
ESTAT:SDG_10_20(1.0),27/04/23 11:00:00,A,PPS_EU27_2020_HAB,CZ,2011,14732,
ESTAT:SDG_10_20(1.0),27/04/23 11:00:00,A,PPS_EU27_2020_HAB,CZ,2012,14822,
ESTAT:SDG_10_20(1.0),27/04/23 11:00:00,A,PPS_EU27_2020_HAB,CZ,2013,15288,
ESTAT:SDG_10_20(1.0),27/04/23 11:00:00,A,PPS_EU27_2020_HAB,CZ,2014,16014,
ESTAT:SDG_10_20(1.0),27/04/23 11:00:00,A,PPS_EU27_2020_HAB,CZ,2015,16340,
ESTAT:SDG_10_20(1.0),27/04/23 11:00:00,A,PPS_EU27_2020_HAB,CZ,2016,16750,
ESTAT:SDG_10_20(1.0),27/04/23 11:00:00,A,PPS_EU27_2020_HAB,CZ,2017,17901,
ESTAT:SDG_10_20(1.0),27/04/23 11:00:00,A,PPS_EU27_2020_HAB,CZ,2018,18669,
ESTAT:SDG_10_20(1.0),27/04/23 11:00:00,A,PPS_EU27_2020_HAB,CZ,2019,19531,
ESTAT:SDG_10_20(1.0),27/04/23 11:00:00,A,PPS_EU27_2020_HAB,CZ,2020,19707,
ESTAT:SDG_10_20(1.0),27/04/23 11:00:00,A,PPS_EU27_2020_HAB,CZ,2021,21100,
ESTAT:SDG_10_20(1.0),27/04/23 11:00:00,A,PPS_EU27_2020_HAB,DE,2000,17725,
ESTAT:SDG_10_20(1.0),27/04/23 11:00:00,A,PPS_EU27_2020_HAB,DE,2001,18538,
ESTAT:SDG_10_20(1.0),27/04/23 11:00:00,A,PPS_EU27_2020_HAB,DE,2002,18671,
ESTAT:SDG_10_20(1.0),27/04/23 11:00:00,A,PPS_EU27_2020_HAB,DE,2003,19549,
ESTAT:SDG_10_20(1.0),27/04/23 11:00:00,A,PPS_EU27_2020_HAB,DE,2004,20134,
ESTAT:SDG_10_20(1.0),27/04/23 11:00:00,A,PPS_EU27_2020_HAB,DE,2005,20653,
ESTAT:SDG_10_20(1.0),27/04/23 11:00:00,A,PPS_EU27_2020_HAB,DE,2006,21250,
ESTAT:SDG_10_20(1.0),27/04/23 11:00:00,A,PPS_EU27_2020_HAB,DE,2007,21966,
ESTAT:SDG_10_20(1.0),27/04/23 11:00:00,A,PPS_EU27_2020_HAB,DE,2008,22689,
ESTAT:SDG_10_20(1.0),27/04/23 11:00:00,A,PPS_EU27_2020_HAB,DE,2009,22594,
ESTAT:SDG_10_20(1.0),27/04/23 11:00:00,A,PPS_EU27_2020_HAB,DE,2010,23394,
