DATAFLOW,LAST UPDATE,freq,unit,geo,TIME_PERIOD,OBS_VALUE,OBS_FLAG
ESTAT:TIPSHO20(1.0),04/04/23 11:00:00,A,INX_A_AVG,CZ,2011,95.30,
ESTAT:TIPSHO20(1.0),04/04/23 11:00:00,A,INX_A_AVG,CZ,2012,93.90,
ESTAT:TIPSHO20(1.0),04/04/23 11:00:00,A,INX_A_AVG,CZ,2013,93.90,
ESTAT:TIPSHO20(1.0),04/04/23 11:00:00,A,INX_A_AVG,CZ,2014,96.20,
ESTAT:TIPSHO20(1.0),04/04/23 11:00:00,A,INX_A_AVG,CZ,2015,100.00,
ESTAT:TIPSHO20(1.0),04/04/23 11:00:00,A,INX_A_AVG,CZ,2016,107.20,
ESTAT:TIPSHO20(1.0),04/04/23 11:00:00,A,INX_A_AVG,CZ,2017,119.70,
ESTAT:TIPSHO20(1.0),04/04/23 11:00:00,A,INX_A_AVG,CZ,2018,130.00,
ESTAT:TIPSHO20(1.0),04/04/23 11:00:00,A,INX_A_AVG,CZ,2019,141.90,
ESTAT:TIPSHO20(1.0),04/04/23 11:00:00,A,INX_A_AVG,CZ,2020,153.90,
ESTAT:TIPSHO20(1.0),04/04/23 11:00:00,A,INX_A_AVG,CZ,2021,184.20,
ESTAT:TIPSHO20(1.0),04/04/23 11:00:00,A,INX_A_AVG,CZ,2022,215.30,
ESTAT:TIPSHO20(1.0),04/04/23 11:00:00,A,INX_A_AVG,DE,2000,84.35,e
ESTAT:TIPSHO20(1.0),04/04/23 11:00:00,A,INX_A_AVG,DE,2001,84.43,e
ESTAT:TIPSHO20(1.0),04/04/23 11:00:00,A,INX_A_AVG,DE,2002,83.26,e
ESTAT:TIPSHO20(1.0),04/04/23 11:00:00,A,INX_A_AVG,DE,2003,83.59,e
ESTAT:TIPSHO20(1.0),04/04/23 11:00:00,A,INX_A_AVG,DE,2004,82.33,e
ESTAT:TIPSHO20(1.0),04/04/23 11:00:00,A,INX_A_AVG,DE,2005,83.30,
ESTAT:TIPSHO20(1.0),04/04/23 11:00:00,A,INX_A_AVG,DE,2006,83.00,
ESTAT:TIPSHO20(1.0),04/04/23 11:00:00,A,INX_A_AVG,DE,2007,81.20,
ESTAT:TIPSHO20(1.0),04/04/23 11:00:00,A,INX_A_AVG,DE,2008,82.30,
ESTAT:TIPSHO20(1.0),04/04/23 11:00:00,A,INX_A_AVG,DE,2009,83.00,
ESTAT:TIPSHO20(1.0),04/04/23 11:00:00,A,INX_A_AVG,DE,2010,83.90,
ESTAT:TIPSHO20(1.0),04/04/23 11:00:00,A,INX_A_AVG,DE,2011,86.80,
ESTAT:TIPSHO20(1.0),04/04/23 11:00:00,A,INX_A_AVG,DE,2012,89.80,
ESTAT:TIPSHO20(1.0),04/04/23 11:00:00,A,INX_A_AVG,DE,2013,92.60,
ESTAT:TIPSHO20(1.0),04/04/23 11:00:00,A,INX_A_AVG,DE,2014,95.50,
ESTAT:TIPSHO20(1.0),04/04/23 11:00:00,A,INX_A_AVG,DE,2015,100.00,
ESTAT:TIPSHO20(1.0),04/04/23 11:00:00,A,INX_A_AVG,DE,2016,107.50,
ESTAT:TIPSHO20(1.0),04/04/23 11:00:00,A,INX_A_AVG,DE,2017,114.10,
ESTAT:TIPSHO20(1.0),04/04/23 11:00:00,A,INX_A_AVG,DE,2018,121.70,
ESTAT:TIPSHO20(1.0),04/04/23 11:00:00,A,INX_A_AVG,DE,2019,128.70,
ESTAT:TIPSHO20(1.0),04/04/23 11:00:00,A,INX_A_AVG,DE,2020,138.70,
ESTAT:TIPSHO20(1.0),04/04/23 11:00:00,A,INX_A_AVG,DE,2021,154.70,
ESTAT:TIPSHO20(1.0),04/04/23 11:00:00,A,INX_A_AVG,DE,2022,162.90,p
ESTAT:TIPSHO20(1.0),04/04/23 11:00:00,A,INX_A_AVG,DK,2000,57.21,e
ESTAT:TIPSHO20(1.0),04/04/23 11:00:00,A,INX_A_AVG,DK,2001,60.56,e
ESTAT:TIPSHO20(1.0),04/04/23 11:00:00,A,INX_A_AVG,DK,2002,62.74,e
ESTAT:TIPSHO20(1.0),04/04/23 11:00:00,A,INX_A_AVG,DK,2003,64.73,e
ESTAT:TIPSHO20(1.0),04/04/23 11:00:00,A,INX_A_AVG,DK,2004,70.53,e
ESTAT:TIPSHO20(1.0),04/04/23 11:00:00,A,INX_A_AVG,DK,2005,82.93,
ESTAT:TIPSHO20(1.0),04/04/23 11:00:00,A,INX_A_AVG,DK,2006,102.89,
ESTAT:TIPSHO20(1.0),04/04/23 11:00:00,A,INX_A_AVG,DK,2007,105.65,
ESTAT:TIPSHO20(1.0),04/04/23 11:00:00,A,INX_A_AVG,DK,2008,100.19,
ESTAT:TIPSHO20(1.0),04/04/23 11:00:00,A,INX_A_AVG,DK,2009,88.19,
ESTAT:TIPSHO20(1.0),04/04/23 11:00:00,A,INX_A_AVG,DK,2010,90.66,
ESTAT:TIPSHO20(1.0),04/04/23 11:00:00,A,INX_A_AVG,DK,2011,89.12,
ESTAT:TIPSHO20(1.0),04/04/23 11:00:00,A,INX_A_AVG,DK,2012,86.71,
ESTAT:TIPSHO20(1.0),04/04/23 11:00:00,A,INX_A_AVG,DK,2013,90.09,
ESTAT:TIPSHO20(1.0),04/04/23 11:00:00,A,INX_A_AVG,DK,2014,93.49,
ESTAT:TIPSHO20(1.0),04/04/23 11:00:00,A,INX_A_AVG,DK,2015,100.00,
ESTAT:TIPSHO20(1.0),04/04/23 11:00:00,A,INX_A_AVG,DK,2016,105.22,
ESTAT:TIPSHO20(1.0),04/04/23 11:00:00,A,INX_A_AVG,DK,2017,110.00,
ESTAT:TIPSHO20(1.0),04/04/23 11:00:00,A,INX_A_AVG,DK,2018,114.81,
ESTAT:TIPSHO20(1.0),04/04/23 11:00:00,A,INX_A_AVG,DK,2019,117.51,
ESTAT:TIPSHO20(1.0),04/04/23 11:00:00,A,INX_A_AVG,DK,2020,123.48,
ESTAT:TIPSHO20(1.0),04/04/23 11:00:00,A,INX_A_AVG,DK,2021,137.98,
ESTAT:TIPSHO20(1.0),04/04/23 11:00:00,A,INX_A_AVG,DK,2022,137.30,p
ESTAT:TIPSHO20(1.0),04/04/23 11:00:00,A,INX_A_AVG,EE,2005,59.01,
ESTAT:TIPSHO20(1.0),04/04/23 11:00:00,A,INX_A_AVG,EE,2006,88.22,
ESTAT:TIPSHO20(1.0),04/04/23 11:00:00,A,INX_A_AVG,EE,2007,106.54,
ESTAT:TIPSHO20(1.0),04/04/23 11:00:00,A,INX_A_AVG,EE,2008,96.29,
ESTAT:TIPSHO20(1.0),04/04/23 11:00:00,A,INX_A_AVG,EE,2009,60.47,
ESTAT:TIPSHO20(1.0),04/04/23 11:00:00,A,INX_A_AVG,EE,2010,63.90,
ESTAT:TIPSHO20(1.0),04/04/23 11:00:00,A,INX_A_AVG,EE,2011,69.32,
ESTAT:TIPSHO20(1.0),04/04/23 11:00:00,A,INX_A_AVG,EE,2012,74.37,
ESTAT:TIPSHO20(1.0),04/04/23 11:00:00,A,INX_A_AVG,EE,2013,82.29,
ESTAT:TIPSHO20(1.0),04/04/23 11:00:00,A,INX_A_AVG,EE,2014,93.58,
ESTAT:TIPSHO20(1.0),04/04/23 11:00:00,A,INX_A_AVG,EE,2015,100.00,
ESTAT:TIPSHO20(1.0),04/04/23 11:00:00,A,INX_A_AVG,EE,2016,104.75,
ESTAT:TIPSHO20(1.0),04/04/23 11:00:00,A,INX_A_AVG,EE,2017,110.51,
ESTAT:TIPSHO20(1.0),04/04/23 11:00:00,A,INX_A_AVG,EE,2018,117.07,
